province,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
Total,2021-02-11,-17.0,1.0,-34.0,-42.0,-27.0,14.0
Total,2021-02-12,-18.0,-3.0,-36.0,-37.0,-26.0,14.0
Total,2021-02-13,-14.0,0.0,-35.0,-38.0,-8.0,9.0
Total,2021-02-14,-11.0,2.0,-34.0,-41.0,-7.0,10.0
Total,2021-02-15,-19.0,-5.0,-45.0,-42.0,-26.0,14.0
Total,2021-02-16,-22.0,-5.0,-44.0,-41.0,-26.0,14.0
Total,2021-02-17,-20.0,-3.0,-40.0,-41.0,-24.0,14.0
Total,2021-02-18,-18.0,0.0,-41.0,-40.0,-24.0,14.0
Total,2021-02-19,-18.0,-3.0,-40.0,-36.0,-23.0,13.0
Total,2021-02-20,-17.0,-2.0,-38.0,-38.0,-5.0,10.0
Total,2021-02-21,-24.0,-6.0,-38.0,-42.0,-7.0,11.0
Total,2021-02-22,-26.0,-13.0,-46.0,-43.0,-24.0,15.0
Total,2021-02-23,-23.0,-9.0,-44.0,-41.0,-23.0,14.0
Total,2021-02-24,-22.0,-8.0,-42.0,-40.0,-23.0,14.0
Total,2021-02-25,-6.0,13.0,-42.0,-35.0,-22.0,12.0
Total,2021-02-26,-3.0,14.0,-40.0,-27.0,-21.0,10.0
Total,2021-02-27,5.0,22.0,-34.0,-23.0,-1.0,5.0
Total,2021-02-28,2.0,23.0,-27.0,-27.0,1.0,5.0
Total,2021-03-01,-5.0,13.0,-39.0,-27.0,-20.0,11.0
Total,2021-03-02,-9.0,11.0,-38.0,-29.0,-20.0,12.0
Total,2021-03-03,-7.0,13.0,-37.0,-30.0,-19.0,12.0
Total,2021-03-04,-7.0,13.0,-37.0,-30.0,-20.0,12.0
Total,2021-03-05,-4.0,16.0,-35.0,-24.0,-18.0,10.0
Total,2021-03-06,-3.0,14.0,-32.0,-25.0,-2.0,7.0
Total,2021-03-07,-11.0,9.0,-31.0,-30.0,-2.0,8.0
Total,2021-03-08,-16.0,-1.0,-41.0,-31.0,-20.0,13.0
Total,2021-03-09,-18.0,-1.0,-41.0,-33.0,-20.0,13.0
Total,2021-03-10,-17.0,0.0,-41.0,-34.0,-20.0,13.0
Total,2021-03-11,-14.0,3.0,-38.0,-33.0,-20.0,12.0
Total,2021-03-12,-12.0,5.0,-37.0,-28.0,-18.0,10.0
Total,2021-03-13,-10.0,5.0,-35.0,-30.0,-2.0,7.0
Total,2021-03-14,-17.0,0.0,-34.0,-35.0,-4.0,8.0
Total,2021-03-15,-15.0,0.0,-43.0,-33.0,-19.0,12.0
Total,2021-03-16,-17.0,-1.0,-41.0,-33.0,-19.0,11.0
Total,2021-03-17,-16.0,0.0,-39.0,-34.0,-18.0,12.0
Total,2021-03-18,-13.0,5.0,-37.0,-31.0,-18.0,12.0
Total,2021-03-19,-9.0,10.0,-34.0,-24.0,-18.0,10.0
Total,2021-03-20,-9.0,8.0,-33.0,-28.0,-5.0,8.0
Total,2021-03-21,-16.0,-1.0,-24.0,-37.0,-6.0,9.0
Total,2021-03-22,-25.0,-16.0,-22.0,-49.0,-72.0,26.0
Total,2021-03-23,-21.0,-3.0,-42.0,-30.0,-17.0,12.0
Eastern Cape,2020-02-15,-8.0,-5.0,-10.0,-10.0,-1.0,-3.0
Eastern Cape,2020-02-16,-6.0,-3.0,-2.0,-8.0,-1.0,-3.0
Eastern Cape,2020-02-17,-15.0,-10.0,-12.0,-5.0,1.0,2.0
Eastern Cape,2020-02-18,-19.0,-14.0,-20.0,-7.0,2.0,3.0
Eastern Cape,2020-02-19,-12.0,-12.0,-9.0,-8.0,4.0,1.0
Eastern Cape,2020-02-20,-2.0,-2.0,-11.0,0.0,3.0,0.0
Eastern Cape,2020-02-21,-8.0,-6.0,-5.0,2.0,3.0,-3.0
Eastern Cape,2020-02-22,-13.0,-10.0,-21.0,-12.0,2.0,-1.0
Eastern Cape,2020-02-23,-13.0,-11.0,-16.0,-10.0,-1.0,1.0
Eastern Cape,2020-02-24,-13.0,-11.0,-13.0,-9.0,5.0,1.0
Eastern Cape,2020-02-25,-3.0,0.0,-14.0,-4.0,5.0,-1.0
Eastern Cape,2020-02-26,-4.0,-2.0,-10.0,-5.0,4.0,1.0
Eastern Cape,2020-02-27,4.0,3.0,-13.0,5.0,4.0,2.0
Eastern Cape,2020-02-28,9.0,9.0,-12.0,13.0,4.0,-2.0
Eastern Cape,2020-02-29,11.0,10.0,-17.0,2.0,9.0,-2.0
Eastern Cape,2020-03-01,18.0,18.0,-5.0,3.0,12.0,-2.0
Eastern Cape,2020-03-02,3.0,7.0,-9.0,3.0,7.0,0.0
Eastern Cape,2020-03-03,0.0,5.0,-10.0,7.0,9.0,-1.0
Eastern Cape,2020-03-04,2.0,4.0,-3.0,3.0,8.0,1.0
Eastern Cape,2020-03-05,5.0,9.0,-4.0,3.0,7.0,1.0
Eastern Cape,2020-03-06,-1.0,3.0,-5.0,6.0,7.0,-1.0
Eastern Cape,2020-03-07,-5.0,0.0,-9.0,-8.0,7.0,0.0
Eastern Cape,2020-03-08,-7.0,-3.0,-11.0,-7.0,4.0,1.0
Eastern Cape,2020-03-09,-14.0,-8.0,-13.0,-5.0,5.0,2.0
Eastern Cape,2020-03-10,-14.0,-9.0,-15.0,-7.0,4.0,0.0
Eastern Cape,2020-03-11,-10.0,-8.0,-8.0,-8.0,2.0,-1.0
Eastern Cape,2020-03-12,-6.0,-5.0,-7.0,-4.0,2.0,-1.0
Eastern Cape,2020-03-13,-2.0,1.0,-4.0,3.0,3.0,-4.0
Eastern Cape,2020-03-14,-7.0,-2.0,-13.0,-13.0,4.0,-1.0
Eastern Cape,2020-03-15,-13.0,-7.0,-23.0,-13.0,1.0,2.0
Eastern Cape,2020-03-16,-14.0,-1.0,-20.0,-13.0,2.0,4.0
Eastern Cape,2020-03-17,-15.0,-5.0,-17.0,-10.0,0.0,3.0
Eastern Cape,2020-03-18,-13.0,-5.0,-9.0,-10.0,-4.0,5.0
Eastern Cape,2020-03-19,-11.0,-2.0,-4.0,-14.0,-11.0,7.0
Eastern Cape,2020-03-20,-12.0,0.0,-7.0,-9.0,-13.0,6.0
Eastern Cape,2020-03-21,-25.0,-6.0,-9.0,-19.0,-15.0,5.0
Eastern Cape,2020-03-22,-27.0,-10.0,-9.0,-30.0,-8.0,4.0
Eastern Cape,2020-03-23,-21.0,-2.0,-5.0,-32.0,-18.0,8.0
Eastern Cape,2020-03-24,-8.0,15.0,-11.0,-18.0,-17.0,6.0
Eastern Cape,2020-03-25,12.0,27.0,-1.0,-7.0,-19.0,4.0
Eastern Cape,2020-03-26,17.0,46.0,-1.0,-35.0,-27.0,4.0
Eastern Cape,2020-03-27,-82.0,-59.0,-22.0,-79.0,-71.0,36.0
Eastern Cape,2020-03-28,-83.0,-59.0,-37.0,-78.0,-54.0,24.0
Eastern Cape,2020-03-29,-82.0,-62.0,-35.0,-80.0,-45.0,20.0
Eastern Cape,2020-03-30,-74.0,-49.0,-19.0,-78.0,-69.0,31.0
Eastern Cape,2020-03-31,-71.0,-44.0,-18.0,-76.0,-68.0,29.0
Eastern Cape,2020-04-01,-70.0,-42.0,-12.0,-75.0,-68.0,31.0
Eastern Cape,2020-04-02,-69.0,-37.0,-12.0,-76.0,-68.0,32.0
Eastern Cape,2020-04-03,-73.0,-41.0,-19.0,-76.0,-67.0,33.0
Eastern Cape,2020-04-04,-79.0,-49.0,-35.0,-77.0,-50.0,22.0
Eastern Cape,2020-04-05,-78.0,-54.0,-32.0,-80.0,-41.0,19.0
Eastern Cape,2020-04-06,-74.0,-46.0,-17.0,-78.0,-69.0,32.0
Eastern Cape,2020-04-07,-75.0,-46.0,-21.0,-78.0,-70.0,32.0
Eastern Cape,2020-04-08,-74.0,-44.0,-13.0,-79.0,-69.0,32.0
Eastern Cape,2020-04-09,-70.0,-33.0,-16.0,-78.0,-69.0,31.0
Eastern Cape,2020-04-10,-85.0,-64.0,-26.0,-84.0,-83.0,40.0
Eastern Cape,2020-04-11,-80.0,-49.0,-39.0,-79.0,-53.0,24.0
Eastern Cape,2020-04-12,-82.0,-59.0,-37.0,-82.0,-43.0,20.0
Eastern Cape,2020-04-13,-83.0,-61.0,-23.0,-86.0,-83.0,38.0
Eastern Cape,2020-04-14,-74.0,-45.0,-22.0,-78.0,-68.0,31.0
Eastern Cape,2020-04-15,-70.0,-38.0,-17.0,-76.0,-68.0,31.0
Eastern Cape,2020-04-16,-71.0,-37.0,-14.0,-75.0,-67.0,32.0
Eastern Cape,2020-04-17,-74.0,-41.0,-22.0,-76.0,-66.0,33.0
Eastern Cape,2020-04-18,-79.0,-49.0,-40.0,-76.0,-48.0,22.0
Eastern Cape,2020-04-19,-80.0,-55.0,-37.0,-79.0,-38.0,18.0
Eastern Cape,2020-04-20,-71.0,-42.0,-21.0,-73.0,-65.0,30.0
Eastern Cape,2020-04-21,-73.0,-44.0,-22.0,-73.0,-65.0,29.0
Eastern Cape,2020-04-22,-74.0,-45.0,-20.0,-73.0,-65.0,31.0
Eastern Cape,2020-04-23,-72.0,-42.0,-19.0,-74.0,-65.0,31.0
Eastern Cape,2020-04-24,-72.0,-38.0,-25.0,-72.0,-64.0,32.0
Eastern Cape,2020-04-25,-73.0,-38.0,-39.0,-71.0,-43.0,20.0
Eastern Cape,2020-04-26,-76.0,-46.0,-36.0,-80.0,-36.0,18.0
Eastern Cape,2020-04-27,-80.0,-54.0,-23.0,-82.0,-80.0,36.0
Eastern Cape,2020-04-28,-70.0,-37.0,-23.0,-72.0,-63.0,27.0
Eastern Cape,2020-04-29,-69.0,-37.0,-18.0,-71.0,-62.0,29.0
Eastern Cape,2020-04-30,-60.0,-23.0,-14.0,-67.0,-60.0,27.0
Eastern Cape,2020-05-01,-64.0,-33.0,-19.0,-73.0,-72.0,32.0
Eastern Cape,2020-05-02,-57.0,-21.0,-34.0,-56.0,-28.0,17.0
Eastern Cape,2020-05-03,-62.0,-33.0,-31.0,-68.0,-22.0,15.0
Eastern Cape,2020-05-04,-48.0,-21.0,-11.0,-55.0,-47.0,21.0
Eastern Cape,2020-05-05,-51.0,-23.0,-15.0,-53.0,-48.0,21.0
Eastern Cape,2020-05-06,-47.0,-19.0,-11.0,-51.0,-47.0,22.0
Eastern Cape,2020-05-07,-43.0,-14.0,-10.0,-55.0,-47.0,22.0
Eastern Cape,2020-05-08,-54.0,-24.0,-20.0,-62.0,-46.0,24.0
Eastern Cape,2020-05-09,-55.0,-22.0,-35.0,-62.0,-22.0,16.0
Eastern Cape,2020-05-10,-61.0,-30.0,-31.0,-73.0,-17.0,13.0
Eastern Cape,2020-05-11,-51.0,-29.0,-16.0,-64.0,-45.0,22.0
Eastern Cape,2020-05-12,-52.0,-29.0,-17.0,-62.0,-45.0,21.0
Eastern Cape,2020-05-13,-54.0,-31.0,-13.0,-63.0,-45.0,23.0
Eastern Cape,2020-05-14,-50.0,-27.0,-12.0,-63.0,-44.0,22.0
Eastern Cape,2020-05-15,-51.0,-24.0,-18.0,-62.0,-43.0,22.0
Eastern Cape,2020-05-16,-54.0,-24.0,-33.0,-62.0,-19.0,15.0
Eastern Cape,2020-05-17,-60.0,-34.0,-29.0,-74.0,-16.0,14.0
Eastern Cape,2020-05-18,-49.0,-28.0,-13.0,-63.0,-42.0,20.0
Eastern Cape,2020-05-19,-51.0,-30.0,-17.0,-63.0,-43.0,20.0
Eastern Cape,2020-05-20,-45.0,-22.0,-13.0,-60.0,-42.0,21.0
Eastern Cape,2020-05-21,-45.0,-21.0,-12.0,-61.0,-43.0,22.0
Eastern Cape,2020-05-22,-51.0,-24.0,-20.0,-65.0,-41.0,22.0
Eastern Cape,2020-05-23,-53.0,-22.0,-34.0,-64.0,-18.0,14.0
Eastern Cape,2020-05-24,-57.0,-30.0,-29.0,-74.0,-13.0,13.0
Eastern Cape,2020-05-25,-43.0,-21.0,-16.0,-66.0,-41.0,20.0
Eastern Cape,2020-05-26,-50.0,-27.0,-22.0,-66.0,-42.0,21.0
Eastern Cape,2020-05-27,-43.0,-21.0,-15.0,-62.0,-40.0,21.0
Eastern Cape,2020-05-28,-38.0,-14.0,-14.0,-63.0,-38.0,20.0
Eastern Cape,2020-05-29,-43.0,-15.0,-21.0,-61.0,-38.0,21.0
Eastern Cape,2020-05-30,-43.0,-12.0,-32.0,-55.0,-10.0,12.0
Eastern Cape,2020-05-31,-46.0,-17.0,-25.0,-69.0,-3.0,10.0
Eastern Cape,2020-06-01,-26.0,-4.0,-9.0,-55.0,-31.0,14.0
Eastern Cape,2020-06-02,-32.0,-11.0,-11.0,-57.0,-32.0,15.0
Eastern Cape,2020-06-03,-32.0,-11.0,-8.0,-56.0,-31.0,16.0
Eastern Cape,2020-06-04,-28.0,-5.0,-5.0,-57.0,-31.0,16.0
Eastern Cape,2020-06-05,-37.0,-13.0,-12.0,-55.0,-31.0,16.0
Eastern Cape,2020-06-06,-40.0,-12.0,-23.0,-55.0,-7.0,10.0
Eastern Cape,2020-06-07,-45.0,-19.0,-15.0,-68.0,-2.0,8.0
Eastern Cape,2020-06-08,-31.0,-11.0,-9.0,-56.0,-29.0,14.0
Eastern Cape,2020-06-09,-35.0,-13.0,-9.0,-54.0,-28.0,14.0
Eastern Cape,2020-06-10,-34.0,-14.0,-6.0,-56.0,-29.0,16.0
Eastern Cape,2020-06-11,-31.0,-11.0,-12.0,-60.0,-30.0,18.0
Eastern Cape,2020-06-12,-41.0,-21.0,-17.0,-61.0,-31.0,19.0
Eastern Cape,2020-06-13,-43.0,-21.0,-26.0,-59.0,-8.0,12.0
Eastern Cape,2020-06-14,-48.0,-29.0,-16.0,-70.0,-4.0,11.0
Eastern Cape,2020-06-15,-23.0,-9.0,-8.0,-58.0,-36.0,16.0
Eastern Cape,2020-06-16,-48.0,-27.0,0.0,-69.0,-67.0,25.0
Eastern Cape,2020-06-17,-29.0,-13.0,-7.0,-58.0,-31.0,16.0
Eastern Cape,2020-06-18,-27.0,-11.0,-6.0,-59.0,-32.0,16.0
Eastern Cape,2020-06-19,-32.0,-14.0,-10.0,-58.0,-32.0,16.0
Eastern Cape,2020-06-20,-36.0,-12.0,-21.0,-59.0,-7.0,10.0
Eastern Cape,2020-06-21,-45.0,-22.0,-17.0,-70.0,-3.0,9.0
Eastern Cape,2020-06-22,-33.0,-19.0,-11.0,-60.0,-33.0,16.0
Eastern Cape,2020-06-23,-35.0,-19.0,-9.0,-60.0,-33.0,16.0
Eastern Cape,2020-06-24,-32.0,-17.0,-7.0,-60.0,-32.0,17.0
Eastern Cape,2020-06-25,-18.0,1.0,-8.0,-56.0,-32.0,16.0
Eastern Cape,2020-06-26,-28.0,-8.0,-13.0,-57.0,-33.0,16.0
Eastern Cape,2020-06-27,-31.0,-9.0,-25.0,-58.0,-8.0,10.0
Eastern Cape,2020-06-28,-41.0,-19.0,-29.0,-70.0,-9.0,11.0
Eastern Cape,2020-06-29,-27.0,-13.0,-16.0,-57.0,-32.0,15.0
Eastern Cape,2020-06-30,-20.0,-3.0,-11.0,-53.0,-31.0,13.0
Eastern Cape,2020-07-01,-19.0,-3.0,-3.0,-50.0,-30.0,14.0
Eastern Cape,2020-07-02,-17.0,2.0,-5.0,-51.0,-31.0,16.0
Eastern Cape,2020-07-03,-27.0,-9.0,-8.0,-53.0,-31.0,16.0
Eastern Cape,2020-07-04,-32.0,-10.0,-19.0,-55.0,-7.0,10.0
Eastern Cape,2020-07-05,-36.0,-16.0,-14.0,-66.0,-2.0,9.0
Eastern Cape,2020-07-06,-22.0,-8.0,-7.0,-51.0,-31.0,14.0
Eastern Cape,2020-07-07,-27.0,-10.0,-14.0,-55.0,-33.0,15.0
Eastern Cape,2020-07-08,-27.0,-12.0,-8.0,-55.0,-31.0,15.0
Eastern Cape,2020-07-09,-25.0,-8.0,-10.0,-52.0,-33.0,16.0
Eastern Cape,2020-07-10,-35.0,-18.0,-13.0,-54.0,-33.0,15.0
Eastern Cape,2020-07-11,-44.0,-24.0,-33.0,-61.0,-15.0,13.0
Eastern Cape,2020-07-12,-42.0,-27.0,-18.0,-66.0,-9.0,9.0
Eastern Cape,2020-07-13,-36.0,-22.0,-18.0,-57.0,-33.0,15.0
Eastern Cape,2020-07-14,-43.0,-29.0,-23.0,-61.0,-36.0,17.0
Eastern Cape,2020-07-15,-26.0,-12.0,-11.0,-53.0,-32.0,15.0
Eastern Cape,2020-07-16,-25.0,-9.0,-9.0,-55.0,-31.0,15.0
Eastern Cape,2020-07-17,-32.0,-15.0,-10.0,-56.0,-31.0,16.0
Eastern Cape,2020-07-18,-38.0,-17.0,-21.0,-55.0,-10.0,12.0
Eastern Cape,2020-07-19,-41.0,-24.0,-15.0,-65.0,-10.0,10.0
Eastern Cape,2020-07-20,-28.0,-14.0,-16.0,-54.0,-30.0,15.0
Eastern Cape,2020-07-21,-32.0,-16.0,-13.0,-54.0,-31.0,14.0
Eastern Cape,2020-07-22,-30.0,-17.0,-10.0,-56.0,-29.0,15.0
Eastern Cape,2020-07-23,-27.0,-12.0,-6.0,-55.0,-29.0,16.0
Eastern Cape,2020-07-24,-26.0,-9.0,-7.0,-49.0,-28.0,14.0
Eastern Cape,2020-07-25,-25.0,-5.0,-14.0,-49.0,-8.0,9.0
Eastern Cape,2020-07-26,-33.0,-15.0,-24.0,-63.0,-9.0,10.0
Eastern Cape,2020-07-27,-23.0,-10.0,-11.0,-49.0,-33.0,15.0
Eastern Cape,2020-07-28,-24.0,-11.0,-10.0,-50.0,-33.0,15.0
Eastern Cape,2020-07-29,-24.0,-12.0,-7.0,-52.0,-33.0,16.0
Eastern Cape,2020-07-30,-21.0,-7.0,-8.0,-50.0,-33.0,16.0
Eastern Cape,2020-07-31,-19.0,-3.0,-7.0,-40.0,-31.0,14.0
Eastern Cape,2020-08-01,-21.0,-1.0,-13.0,-45.0,-5.0,7.0
Eastern Cape,2020-08-02,-22.0,-7.0,2.0,-55.0,-4.0,7.0
Eastern Cape,2020-08-03,-20.0,-7.0,-5.0,-46.0,-28.0,13.0
Eastern Cape,2020-08-04,-22.0,-7.0,-13.0,-47.0,-29.0,14.0
Eastern Cape,2020-08-05,-20.0,-6.0,-9.0,-48.0,-29.0,15.0
Eastern Cape,2020-08-06,-19.0,-4.0,-8.0,-45.0,-30.0,15.0
Eastern Cape,2020-08-07,-22.0,-7.0,2.0,-42.0,-28.0,12.0
Eastern Cape,2020-08-08,-26.0,-8.0,-2.0,-46.0,-6.0,6.0
Eastern Cape,2020-08-09,-29.0,-17.0,3.0,-57.0,-8.0,7.0
Eastern Cape,2020-08-10,-41.0,-27.0,9.0,-61.0,-70.0,23.0
Eastern Cape,2020-08-11,-23.0,-11.0,-1.0,-47.0,-27.0,11.0
Eastern Cape,2020-08-12,-22.0,-12.0,3.0,-45.0,-26.0,13.0
Eastern Cape,2020-08-13,-23.0,-11.0,0.0,-48.0,-27.0,13.0
Eastern Cape,2020-08-14,-19.0,-5.0,2.0,-41.0,-25.0,10.0
Eastern Cape,2020-08-15,-27.0,-9.0,-16.0,-46.0,-5.0,9.0
Eastern Cape,2020-08-16,-34.0,-19.0,-17.0,-58.0,-7.0,9.0
Eastern Cape,2020-08-17,-23.0,-11.0,-3.0,-45.0,-24.0,11.0
Eastern Cape,2020-08-18,-28.0,-13.0,-10.0,-50.0,-25.0,12.0
Eastern Cape,2020-08-19,-24.0,-14.0,-1.0,-49.0,-26.0,11.0
Eastern Cape,2020-08-20,-11.0,-1.0,4.0,-44.0,-24.0,9.0
Eastern Cape,2020-08-21,-23.0,-12.0,1.0,-40.0,-24.0,9.0
Eastern Cape,2020-08-22,-27.0,-13.0,-4.0,,-4.0,5.0
Eastern Cape,2020-08-23,-28.0,-20.0,-2.0,,-5.0,5.0
Eastern Cape,2020-08-24,-26.0,-16.0,-5.0,-44.0,-24.0,10.0
Eastern Cape,2020-08-25,-13.0,-1.0,1.0,,-22.0,8.0
Eastern Cape,2020-08-26,-15.0,-4.0,6.0,-41.0,-20.0,9.0
Eastern Cape,2020-08-27,-8.0,2.0,9.0,-39.0,-21.0,9.0
Eastern Cape,2020-08-28,-17.0,-6.0,2.0,-38.0,-21.0,8.0
Eastern Cape,2020-08-29,-22.0,-8.0,-13.0,,-5.0,5.0
Eastern Cape,2020-08-30,-26.0,-16.0,-13.0,,-6.0,6.0
Eastern Cape,2020-08-31,-13.0,-5.0,3.0,-39.0,-22.0,8.0
Eastern Cape,2020-09-01,-15.0,-4.0,-1.0,-42.0,-21.0,8.0
Eastern Cape,2020-09-02,-15.0,-8.0,5.0,,-21.0,8.0
Eastern Cape,2020-09-03,-4.0,3.0,10.0,,-21.0,6.0
Eastern Cape,2020-09-04,-15.0,-6.0,7.0,-32.0,-21.0,6.0
Eastern Cape,2020-09-05,-22.0,-9.0,-14.0,,-5.0,5.0
Eastern Cape,2020-09-06,-29.0,-17.0,-12.0,,-8.0,6.0
Eastern Cape,2020-09-07,-16.0,-7.0,6.0,-38.0,-21.0,7.0
Eastern Cape,2020-09-08,-15.0,-6.0,6.0,,-19.0,7.0
Eastern Cape,2020-09-09,-17.0,-11.0,9.0,,-19.0,9.0
Eastern Cape,2020-09-10,-12.0,-4.0,8.0,,-19.0,9.0
Eastern Cape,2020-09-11,-23.0,-14.0,-3.0,-36.0,-21.0,9.0
Eastern Cape,2020-09-12,-23.0,-13.0,-4.0,-37.0,-6.0,4.0
Eastern Cape,2020-09-13,-29.0,-21.0,-7.0,-43.0,-10.0,5.0
Eastern Cape,2020-09-14,-23.0,-18.0,6.0,-36.0,-17.0,8.0
Eastern Cape,2020-09-15,-13.0,-6.0,1.0,-32.0,-17.0,8.0
Eastern Cape,2020-09-16,-14.0,-10.0,7.0,-35.0,-17.0,9.0
Eastern Cape,2020-09-17,-10.0,-6.0,7.0,-35.0,-17.0,9.0
Eastern Cape,2020-09-18,-16.0,-10.0,-1.0,-30.0,-17.0,8.0
Eastern Cape,2020-09-19,-20.0,-8.0,-7.0,-34.0,-3.0,5.0
Eastern Cape,2020-09-20,-25.0,-18.0,-8.0,-42.0,-9.0,7.0
Eastern Cape,2020-09-21,-21.0,-15.0,0.0,-36.0,-18.0,10.0
Eastern Cape,2020-09-22,-19.0,-11.0,-7.0,-32.0,-18.0,9.0
Eastern Cape,2020-09-23,-9.0,-2.0,-1.0,-30.0,-18.0,7.0
Eastern Cape,2020-09-24,-24.0,-11.0,23.0,-46.0,-67.0,19.0
Eastern Cape,2020-09-25,-11.0,4.0,-6.0,-33.0,-34.0,11.0
Eastern Cape,2020-09-26,-19.0,-4.0,-16.0,-33.0,-12.0,7.0
Eastern Cape,2020-09-27,-19.0,-8.0,-12.0,-39.0,-11.0,4.0
Eastern Cape,2020-09-28,-18.0,-6.0,-10.0,-32.0,-18.0,10.0
Eastern Cape,2020-09-29,-18.0,-6.0,-22.0,-33.0,-17.0,9.0
Eastern Cape,2020-09-30,-6.0,2.0,-20.0,-30.0,-17.0,8.0
Eastern Cape,2020-10-01,-6.0,8.0,-34.0,-28.0,-17.0,8.0
Eastern Cape,2020-10-02,-15.0,-1.0,-39.0,-29.0,-18.0,8.0
Eastern Cape,2020-10-03,-26.0,-11.0,-47.0,-36.0,-12.0,8.0
Eastern Cape,2020-10-04,-18.0,-10.0,-30.0,-35.0,-14.0,3.0
Eastern Cape,2020-10-05,-16.0,-4.0,-34.0,-30.0,-18.0,6.0
Eastern Cape,2020-10-06,-15.0,-5.0,-32.0,-31.0,-17.0,6.0
Eastern Cape,2020-10-07,-10.0,-3.0,-19.0,-30.0,-20.0,7.0
Eastern Cape,2020-10-08,-7.0,2.0,-18.0,-31.0,-14.0,9.0
Eastern Cape,2020-10-09,-17.0,-7.0,-25.0,-31.0,-15.0,9.0
Eastern Cape,2020-10-10,-26.0,-16.0,-35.0,-36.0,-7.0,10.0
Eastern Cape,2020-10-11,-27.0,-20.0,-27.0,-41.0,-12.0,9.0
Eastern Cape,2020-10-12,-21.0,-13.0,-17.0,-31.0,-16.0,9.0
Eastern Cape,2020-10-13,-21.0,-13.0,-23.0,-30.0,-16.0,9.0
Eastern Cape,2020-10-14,-17.0,-11.0,-21.0,-32.0,-14.0,9.0
Eastern Cape,2020-10-15,-6.0,4.0,-25.0,-28.0,-13.0,9.0
Eastern Cape,2020-10-16,-14.0,-2.0,-27.0,-26.0,-14.0,8.0
Eastern Cape,2020-10-17,-22.0,-9.0,-27.0,-34.0,-5.0,6.0
Eastern Cape,2020-10-18,-26.0,-17.0,-28.0,-37.0,-10.0,7.0
Eastern Cape,2020-10-19,-24.0,-13.0,-27.0,-35.0,-14.0,10.0
Eastern Cape,2020-10-20,-19.0,-9.0,-29.0,-32.0,-14.0,10.0
Eastern Cape,2020-10-21,-15.0,-9.0,-18.0,-31.0,-14.0,10.0
Eastern Cape,2020-10-22,-9.0,-2.0,-12.0,-27.0,-13.0,9.0
Eastern Cape,2020-10-23,-8.0,3.0,-17.0,-26.0,-15.0,7.0
Eastern Cape,2020-10-24,-13.0,0.0,-16.0,-31.0,-2.0,3.0
Eastern Cape,2020-10-25,-16.0,-6.0,-16.0,-36.0,-8.0,5.0
Eastern Cape,2020-10-26,-18.0,-8.0,-21.0,-34.0,-22.0,12.0
Eastern Cape,2020-10-27,-10.0,-1.0,-14.0,-29.0,-21.0,9.0
Eastern Cape,2020-10-28,-8.0,-4.0,-15.0,-31.0,-22.0,10.0
Eastern Cape,2020-10-29,-5.0,1.0,-26.0,-28.0,-23.0,11.0
Eastern Cape,2020-10-30,-6.0,5.0,-29.0,-25.0,-23.0,9.0
Eastern Cape,2020-10-31,-14.0,-3.0,-29.0,-30.0,-2.0,4.0
Eastern Cape,2020-11-01,-10.0,-1.0,-26.0,-32.0,-7.0,4.0
Eastern Cape,2020-11-02,-13.0,-1.0,-30.0,-27.0,-14.0,9.0
Eastern Cape,2020-11-03,-11.0,2.0,-29.0,-28.0,-13.0,9.0
Eastern Cape,2020-11-04,-12.0,-2.0,-25.0,-28.0,-13.0,10.0
Eastern Cape,2020-11-05,-8.0,4.0,-24.0,-30.0,-13.0,11.0
Eastern Cape,2020-11-06,-14.0,-1.0,-27.0,-23.0,-14.0,9.0
Eastern Cape,2020-11-07,-19.0,-7.0,-24.0,-30.0,-1.0,6.0
Eastern Cape,2020-11-08,-21.0,-12.0,-21.0,-39.0,-8.0,6.0
Eastern Cape,2020-11-09,-24.0,-12.0,-27.0,-35.0,-16.0,12.0
Eastern Cape,2020-11-10,-23.0,-11.0,-28.0,-31.0,-16.0,11.0
Eastern Cape,2020-11-11,-18.0,-10.0,-21.0,-30.0,-16.0,11.0
Eastern Cape,2020-11-12,-13.0,-3.0,-23.0,-29.0,-15.0,12.0
Eastern Cape,2020-11-13,-13.0,-1.0,-23.0,-20.0,-16.0,9.0
Eastern Cape,2020-11-14,-22.0,-5.0,-32.0,-24.0,-5.0,8.0
Eastern Cape,2020-11-15,-26.0,-14.0,-28.0,-35.0,-11.0,8.0
Eastern Cape,2020-11-16,-24.0,-12.0,-26.0,-29.0,-16.0,11.0
Eastern Cape,2020-11-17,-26.0,-15.0,-32.0,-32.0,-17.0,12.0
Eastern Cape,2020-11-18,-23.0,-15.0,-27.0,-34.0,-18.0,13.0
Eastern Cape,2020-11-19,-17.0,-7.0,-24.0,-33.0,-18.0,13.0
Eastern Cape,2020-11-20,-15.0,-1.0,-24.0,-25.0,-17.0,10.0
Eastern Cape,2020-11-21,-23.0,-6.0,-28.0,-24.0,-6.0,7.0
Eastern Cape,2020-11-22,-27.0,-14.0,-29.0,-37.0,-10.0,8.0
Eastern Cape,2020-11-23,-22.0,-10.0,-26.0,-32.0,-17.0,11.0
Eastern Cape,2020-11-24,-19.0,-7.0,-30.0,-32.0,-17.0,11.0
